lib32-libxxf86vm 1.1.7-1
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.2.2-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.40-1
lib32-nss 3.129-1
lib32-openssl 1:3.6.4-1
lib32-p11-kit 0.26.5-1
lib32-pcre2 10.48-1
lib32-pipewire 1:1.6.8-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-sqlite 3.53.4-1
lib32-systemd 261.3-1
lib32-util-linux 2.42.3-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-mesa-implicit-layers 1:26.2.2-1
lib32-vulkan-radeon 1:26.2.2-1
lib32-wayland 1.26.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.4-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.4-1
libaec 1.1.7-1
libaemu 0.1.2-5
libaio 0.3.113-5
libao 1.2.2-7
libappindicator 12.10.1-2
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-2
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.7-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.5.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libburn 1.5.8-1
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.6-1
libcbor 0.14.0-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcgif 0.5.4-1
libcloudproviders 0.4.1-1
libcolord 1.4.8-1
libconfig 1.8.2-2
libcups 2:2.4.19-1
libcupsfilters 2.2.1-2
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libdc1394 2.2.7-2
libde265 1.1.3-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libebml 1.4.7-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libevdev 1.13.7-1
libevent 2.1.13-2
libewf 20140816-1
libexif 0.6.26-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libftdi 1.5-10
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.4-1
libgee 0.20.8-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgnomekbd 1:3.28.1-2
libgomp 16.2.1+r23+gd564253eb6c8-1
libgovirt 2:0.3.11-1
libgpg-error 1.61-1
libgudev 238-3
libguestfs 1.60.1-1
libheif 1.23.4-1
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libid3tag 0.16.4-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiscsi 1.20.3-1
libisl 0.28-1
libisoburn 1.5.8.2-1
libisofs 1.5.8.2-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libkexiv2 26.08.1-1
libksba 1.8.1-1
libkscreen 6.7.5-1
libksysguard 6.7.5-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.7.1-1
libliftoff 0.5.0-1
liblouis 3.39.0-1
liblqr 0.4.3-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libluv 1.52.1-1
libmad 0.15.1b-10
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatio 1.5.30-1
libmatroska 1.7.2-2
libmbim 1.34.0-1
libmd 1.2.0-1
libmediainfo 26.05-2
libmfx 23.2.2-6
libmm-glib 1.24.2-1
libmms 0.6.4-6
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpeg2 0.5.1-11
libmspack 1:1.11-2
libmtp 1.1.23-1
libmysofa 1.3.5-1
libnbd 1.24.3-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.2-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.24-1
libnl 3.12.0-1
libnm 1.58.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libntfs-3g 2026.7.7-1
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libogg 1.3.6-1
libopenmpt 0.8.9-1
libosinfo 1.12.0-3
libp11-kit 0.26.5-1
libpaper 2.2.8-1
libpathrs 0.2.6-1
libpcap 1.11.0-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplasma 6.7.5-1
libplist 2.7.0-3
libpng 1.6.58-2
libppd 2.1.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqaccessibilityclient-qt6 0.6.0-4
libqalculate 5.12.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libraqm 0.11.0-1
libraw 0.22.2-1
libraw1394 2.1.2-4
librest 0.10.2-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsbsms 2.3.0-6
libseccomp 2.6.0-1
libsecret 0.21.8.2-1
libshout 1:2.4.6-5
libsigc++-3.0 3.8.1-1
libsixel 1.10.5-1
libslirp 4.9.4-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspeechd 0.12.1-3
libssc 0.4.4-1
libssh 0.12.2-1
libssh2 1.11.1-7
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.8-1
libtommath 1.3.0-2
libtool 2.6.2-5
libtpms 0.10.2-1
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.3-1
liburcu 0.15.7-1
liburing 2.15-1
libusb 1.0.30-1
libusb-compat 0.1.9-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-2
libva 2.24.1-1
libva-intel-driver 2.4.5-1
libva-utils 2.24.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvips 8.18.6-1
libvirt 1:12.7.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:12.7.0-1
libvlc 3.0.23_2-14
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.17.0-1
libvterm 0.3.3-2
libwacom 2.20.0-1
libwbclient 2:4.24.7-1
libwebp 1.6.0-2
libwireplumber 0.5.17-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.4-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2921+644251f25-1
libzen 0.4.41-3
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux-api-headers 7.2-1
linux-firmware 20260916-1
linux-firmware-amd 20260916-1
linux-firmware-amdgpu 20260916-1
linux-firmware-atheros 20260916-1
linux-firmware-broadcom 20260916-1
linux-firmware-cirrus 20260916-1
linux-firmware-intel 20260916-1
linux-firmware-mediatek 20260916-1
linux-firmware-nvidia 20260916-1
linux-firmware-other 20260916-1
linux-firmware-radeon 20260916-1
linux-firmware-realtek 20260916-1
linux-firmware-ti 20260916-1
linux-firmware-whence 20260916-1
linux-wallpaperengine-git r627.b016d7d1-1
linux-wallpaperengine-git-debug r627.b016d7d1-1
linux-zen 7.2.6.zen2-1
linux-zen-headers 7.2.6.zen2-1
litehtml 0.10-1
llhttp 9.3.1-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsend 1.18.2-1
lolcat 100.0.1-5
lsb-release 2.0.r55.a25a4fc-1
lsd 1.2.0-2
lsof 4.99.7-1
lua 5.5.1-1
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.9-1
luajit 2.1.1788856981+c6ffc14-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
mbedtls 4.2.0-1
mbedtls3 3.6.7-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mediainfo 26.05-1
mesa 1:26.2.2-1
milou 6.7.5-1
minizip 1:1.3.2-3
mission-center 1.2.0-1
mkinitcpio 42-1
mkinitcpio-busybox 1.36.1-1
mlt 7.40.0-3
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-6
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
multipath-tools 0.15.1-1
muparser 2.3.5-2
nano 9.2-1
ncurses 6.6-2
ndctl 85-1
neovim 0.12.5-1
netpbm 10.86.50-2
nettle 4.0-1
nettle3 3.10.2-2
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-vpn-plugin-openconnect 1.2.10-4
networkmanager-vpn-plugin-openvpn 1.12.5-1
nftables 1:1.1.7-3
nm-connection-editor 1.36.0-2
nodejs-lts-jod 22.23.2-1
noto-fonts 1:2026.09.01-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.129-1
ntfs-3g 2026.7.7-1
ntfsprogs 2026.7.7-1
numactl 2.0.19-1
nvtop 3.3.2-1
oath-toolkit 2.6.14-4
obs-vertical-canvas-bin-debug 1.6.3-2
obs-vertical-canvas-debug 1.6.3-1
ocean-sound-theme 6.7.5-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
onlyoffice-bin 9.4.0-1
openal 1.25.2-2
openbsd-netcat 1.238_1-1
opencl-headers 2:2026.05.29-1
openconnect 1:9.21-1
opencore-amr 0.1.6-2
opencv 5.0.0-10
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openrgb 1.0-2
openssh 10.5p1-1
openssl 3.6.4-1
opentimelineio 0.18.1-3
openvpn 2.7.7-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.44-1
os-prober 1.84-1
osinfo-db 20260812-1
ostree 2026.4-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pahole 1:1.32-1
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pango 1:1.58.2-1
pangomm-2.48 2.56.2-1
parsec-bin 150_104a-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.48-1
pcsclite 2.5.1-1
pdfio 1.6.5-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 3.0.7-1
plasma-activities 6.7.5-1
plasma-activities-stats 6.7.5-1
plasma-integration 6.7.5-1
plasma-workspace 6.7.5-1
playerctl 2.4.1-5
polkit 127-3
polkit-kde-agent 6.7.5-1
polkit-qt6 0.201.1-1
poppler 26.08.0-1
poppler-data 0.4.12-2
poppler-qt6 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
portmidi 1:2.0.8-1
portsmf 234-3
prison 6.30.0-1
procps-ng 4.0.7-1
protobuf 36.1-1
protobuf-c 1.5.2-15
psmisc 23.7-2
pugixml 1.16-1
purpose 6.30.0-1
python 3.14.7-1
python-aaf2 1.7.1-4
python-argcomplete 3.7.2-1
python-attrs 26.1.0-1
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-charset-normalizer 3.5.1-1
python-colorama 0.4.6-6
python-dbus 1.4.0-2
python-dotty-dict 1.3.1-6
python-gobject 3.56.3-1
python-halo 0.0.31-11
python-hid 1.0.9-1
python-hjson 3.1.0-5
python-i3ipc 2.2.1-9
python-idna 3.19-1
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-log_symbols 0.0.14-10
python-milc 2.1.0-1
python-packaging 26.3-1
python-pillow 12.3.0-1
python-platformdirs 4.11.8-1
python-prettytable 3.18.0-1
python-pyaml 26.7.0-1
python-pycups 2.0.4-4
python-pyelftools 0.33-1
python-pygments 2.21.0-1
python-pyserial 3.5-8
python-pyusb 1.3.1-2
python-pyxdg 0.28-7
python-referencing 0.37.0-3
python-requests 2.34.2-1
